Year,Month,Fund ID,Department ID,Fund Name,Department Name,Amount
2012,12,1,10,General,Adm/Executive,90000
2012,12,1,34,General,Court,177687.71
2012,12,1,34,General,Court,73338.54
2012,12,1,10,General,Adm/Executive,155319.95
2011,12,1,10,General,Adm/Executive,186017.56
2010,12,1,10,General,Adm/Executive,228679.2
2009,12,1,10,General,Adm/Executive,224267.66
2008,12,1,10,General,Adm/Executive,264230.02
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2008,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,1047.51
2009,12,1,10,General,Adm/Executive,1152.37
2012,12,1,10,General,Adm/Executive,32136.25
2011,12,1,10,General,Adm/Executive,10692.38
2010,12,1,10,General,Adm/Executive,10033.74
2009,12,1,10,General,Adm/Executive,4471.25
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2008,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2008,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,5087.95
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2008,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,0
2011,12,1,10,General,Adm/Executive,0
2010,12,1,10,General,Adm/Executive,0
2009,12,1,10,General,Adm/Executive,0
2008,12,1,10,General,Adm/Executive,0
2012,12,1,10,General,Adm/Executive,15837.07
2011,12,1,10,General,Adm/Executive,10365.32
2010,12,1,10,General,Adm/Executive,6064.18
2009,12,1,10,General,Adm/Executive,6190.91
